          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10501 K
     model number =   41   age (yrs) =  3.95743E+08   l/l sun =  3.39946E-03
     number of points in model = 581   r/r sun =  1.77745E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0390        35.5873        0.1956
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  3   59.233   59.281    41.8480  -0.14465E+00      2      5      3   49.711   0.423
     1  4  112.326  110.735    43.1617  -0.10077E+01      3      6      4   49.250   0.567
     1  5  131.738  135.379    46.5532  -0.71285E+00      6      5      5   52.847   0.423
     1  6  201.521  202.115    46.7865  -0.96473E+00      6     10      6   51.740   0.454
     2  4   53.192   53.066    42.9664  -0.31236E-01      3     10      4   49.264   0.095
     2  5   69.648   68.954    43.9692   0.61545E-01      4      5      5   51.092   0.071
     2  6   79.211   81.549    44.8282   0.47168E-01      5      6      6   52.289   0.096
     2  6  117.519  118.108    46.7046  -0.12178E+00      6     10      6   53.352   0.122
     2  7  120.450  120.425    47.0213  -0.39347E-01      8      9      7   50.775   0.162
     2  9  148.380  148.250    41.0721   0.39822E-01      8     13      9   48.798   0.164
     2  9  159.456  159.735    46.6184   0.92861E-01      9     11      9   53.667   0.140
     2 11  198.250  197.851    46.1003  -0.17165E+00     12     16     11   54.173   0.148
     2 13  205.009  204.991    45.4910  -0.74968E-01     13     14     13   52.398   0.165
     2 17  316.740  316.657    41.0211   0.37691E-01     19     22     17   51.354   0.170
