          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  10343 K
     model number =   30   age (yrs) =  2.83401E+08   l/l sun =  5.49500E-03
     number of points in model = 441   r/r sun =  2.32941E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0210        72.3559        0.1076
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  2  101.315   97.256    44.0926   0.56901E+01      1      2      2   52.097   0.378
     1  3  324.195  317.722    46.8875  -0.17691E+01      3      7      3   49.896   0.504
     1  7  472.339  471.551    48.6459  -0.13189E-01      7      7      7   47.168   0.345
     1  8  501.513  503.449    45.6372  -0.10689E+00      8      8      8   48.782   0.488
     1  9  577.450  577.241    45.3003  -0.24162E-01      9     13      9   49.349   0.492
     1 10  630.317  621.017    45.6651   0.10574E+00     10     12     10   48.741   0.495
     1 11  667.255  667.676    44.9664   0.12948E+00     11     13     11   49.108   0.494
     1 12  740.393  742.404    44.5777   0.28224E-01     12     14     12   48.685   0.495
     1 13  767.288  766.961    47.2779  -0.98982E-03     13     13     13   46.263   0.439
     1 14  816.063  816.849    44.3283   0.28326E-03     14     16     14   48.992   0.496
     1 14  879.342  870.061    44.6974   0.89596E-01     15     17     14   48.524   0.498
     1 16  902.080  898.640    44.3040   0.12500E+00     16     20     16   48.860   0.497
     1 17  973.355  974.570    43.8900   0.12803E+00     17     19     17   49.845   0.497
     1 18 1049.551 1050.394    43.7142   0.15618E-01     18     20     18   48.626   0.497
     1 19 1069.093 1068.641    47.0540  -0.50976E-03     19     19     19   45.672   0.468
     1 20 1123.564 1121.382    43.6810   0.79957E-02     20     22     20   48.439   0.498
     1 21 1143.599 1136.081    44.3948   0.28459E-01     21     21     21   48.193   0.499
     1 21 1281.274 1282.094    43.2728   0.70386E-01     21     25     21   50.340   0.498
     1 24 1357.260 1357.392    43.1710   0.60964E-04     24     28     24   48.401   0.499
     1 25 1372.796 1372.070    46.3187  -0.19015E-03     25     25     25   45.238   0.481
     1 26 1399.479 1390.547    44.6749   0.14568E-01     26     26     26   47.407   0.499
     1 25 1435.419 1435.797    43.0801   0.60887E-01     25     27     25   49.611   0.499
     2  2   61.526   58.385    44.0462  -0.85592E-01      1      2      2   49.603   0.040
     2  2   92.222   96.143    46.4240  -0.34814E-01      3      2      2   49.749   0.121
     2  3  143.656  145.453    47.3206  -0.73265E-02      3      3      3   50.226   0.131
     2  4  188.438  186.837    46.9442   0.16292E-02      4      8      4   49.707   0.144
     2  5  218.939  214.964    46.5605   0.25706E-02      5      7      5   49.054   0.150
     2  6  246.221  247.967    46.2077   0.15874E-02      6      8      6   49.249   0.153
     2  7  289.903  291.421    45.6460  -0.53732E-03      7      9      7   49.032   0.156
     2  8  332.851  332.136    45.4785  -0.11335E-02      8     12      8   46.595   0.133
     2  9  337.891  338.115    46.1046  -0.11013E-02      9      9      9   46.042   0.079
     2 10  365.342  360.648    45.6669  -0.74625E-03     10     10     10   47.175   0.159
     2 11  385.776  386.368    44.9738  -0.46032E-03     11     11     11   47.965   0.161
     2 12  427.870  429.116    44.5746  -0.27931E-03     12     14     12   48.786   0.162
     2 13  471.452  471.888    44.3271  -0.45409E-03     13     17     13   48.253   0.163
     2 14  507.104  502.934    44.7874  -0.41218E-03     14     16     14   45.915   0.160
     2 15  517.292  517.444    44.8014  -0.35320E-03     15     15     15   44.898   0.130
     2 16  522.039  520.753    44.4885  -0.32112E-03     16     16     16   45.442   0.155
     2 17  562.240  563.064    43.8893  -0.59010E-04     17     17     17   48.360   0.164
     2 18  606.218  606.747    43.7128  -0.63488E-04     18     20     18   48.702   0.164
     2 19  648.898  647.626    43.6833  -0.22639E-03     19     23     19   47.336   0.165
     2 20  660.369  656.356    44.3883  -0.24286E-03     20     22     20   46.634   0.165
     2 23  739.946  740.437    43.2724  -0.56161E-04     23     23     23   48.677   0.165
     2 24  783.810  783.893    43.1701  -0.13759E-03     24     28     24   48.457   0.165
     2 25  808.108  803.540    44.6731  -0.21043E-03     25     27     25   46.885   0.166
     2 26  828.917  829.207    43.0799  -0.23000E-03     26     28     26   48.112   0.165
     2 29  917.048  917.242    42.9377  -0.18220E-04     29     29     29   48.788   0.166
     2 30  957.750  953.977    43.7225  -0.11674E-03     30     32     30   46.959   0.166
     2 31  962.638  961.530    43.0620  -0.13260E-03     31     33     31   47.387   0.166
     2 31 1006.237 1006.443    42.8787  -0.18438E-03     32     34     31   49.019   0.166
     2 34 1095.629 1095.619    42.8756  -0.78031E-04     35     37     34   48.049   0.166
     2 35 1105.891 1101.953    44.7192  -0.10878E-03     36     36     35   46.709   0.166
     2 36 1140.882 1141.170    42.8713  -0.21828E-03     37     39     36   49.409   0.166
     2 37 1185.860 1186.109    42.8859  -0.17447E-03     38     40     37   49.456   0.166
     2 36 1226.630 1226.580    46.2912  -0.52851E-04     39     39     36   42.549   0.159
     2 38 1231.066 1231.252    42.9072  -0.48219E-04     40     42     38   46.926   0.166
     2 39 1249.688 1245.866    45.3959  -0.58490E-04     41     41     39   46.105   0.166
     2 39 1276.538 1276.815    42.9318  -0.14228E-03     42     42     39   49.317   0.166
     2 39 1321.833 1322.049    42.9588  -0.24123E-03     43     45     39   50.169   0.166
     2 40 1367.305 1367.612    42.9892  -0.93957E-04     44     46     40   49.353   0.166
     2 39 1395.192 1391.478    45.7320  -0.34756E-04     45     47     39   45.284   0.166
     2 39 1402.872 1402.807    49.3363  -0.40070E-04     47     46     39   42.205   0.161
     2 41 1412.973 1413.151    43.0242  -0.62755E-04     47     47     41   48.081   0.166
     2 42 1458.505 1458.771    43.0587  -0.27601E-03     48     48     42   50.387   0.166
