          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   32   age (yrs) =  3.34587E+08   l/l sun =  3.81171E-03
     number of points in model = 436   r/r sun =  1.60121E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0459        57.7110        0.2346
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  0  117.070  127.624    43.1057  -0.26270E+00      1      6      0   51.190   0.494
     1  2  122.571  127.046    44.0056  -0.68086E+00      2      4      2   51.327   0.460
     1  3  160.675  166.835    44.6277  -0.96409E+00      3      3      3   52.088   0.478
     1  4  225.727  234.192    45.3066  -0.99486E+00      4      6      4   52.540   0.488
     1  5  247.487  256.537    45.3141  -0.99681E+00      5      5      5   52.668   0.495
     2  0   67.922   74.360    43.0793  -0.10139E+00      1      4      0   50.840   0.161
     2  2   71.561   76.472    43.9913  -0.37369E+00      2      4      2   51.381   0.124
     2  3   93.206   97.930    44.4957  -0.65891E+00      3      3      3   52.314   0.145
     2  4  130.616  136.117    45.4901  -0.66675E+00      4      6      4   52.744   0.155
     2  4  143.037  148.698    45.5192  -0.65206E+00      5      5      4   52.856   0.162
     2 12  332.776  332.766    39.7814   0.31292E+00     14     15     12   58.021   0.164
     2 15  417.923  417.981    42.6538   0.11993E+00     16     18     15   59.349   0.165
     2 16  431.666  233.502    35.1520   0.18150E-03     17     20     16   61.982   0.164
     2 13  446.917  446.913    41.8680  -0.10249E+00     16     17     13   60.600   0.165
     2 19  564.794  564.894    41.5056  -0.22005E-01     21     23     19   73.266   0.166
     2 20  568.004  557.392    36.8654  -0.12617E-02     21     24     20   73.720   0.166
     2 26  706.605  686.469    36.8846  -0.19244E-05     28     29     26   84.032   0.166
     2 24  712.903  712.927    40.7378  -0.35473E-01     27     28     24   85.804   0.166
     2 32  844.576  820.116    36.7236  -0.13671E-03     35     36     32   93.148   0.167
     2 28  856.776  856.692    40.6204   0.68143E-01     32     33     28   96.513   0.167
