          white dwarf sequence = Tc600502 MLT alpha 0.7
          temperature of model =  11385 K
     model number =   31   age (yrs) =  3.42842E+08   l/l sun =  3.60098E-03
     number of points in model = 436   r/r sun =  1.55632E-02
      DE = +3.0, -3.0; Mod. Ledoux of the BV freq, Reint opacs in WDXD
          Nu_o          Pi_o          t dyn
         0.0479        59.9487        0.2448
     l  k  period   int. per   log K.E.      y3   nodes = y1   = y2   =plmode   rint 1

     1  1  121.082  127.819    42.9405  -0.12700E+01      2      5      1   51.635   0.460
     1  1  187.047  188.018    46.1718  -0.15695E+01      3      5      1   53.331   0.471
     1  3  235.140  236.945    46.6881   0.52074E-01      3      9      3   51.202   0.482
     1  4  236.950  239.685    45.1706  -0.73061E-01      4      8      4   50.076   0.490
     1  5  286.208  287.865    46.0982  -0.80567E+00      5      7      5   52.885   0.489
     1  4  410.317  410.288    41.3059  -0.96856E-03      3     10      4   47.277   0.291
     1 13  633.693  633.421    38.6848  -0.21652E-03     13     16     13   46.450   0.416
     1 19  925.054  762.908    35.8570  -0.38510E-03     21     24     19   48.591   0.499
     2  2   70.721   76.475    43.3895   0.43173E+01      1      6      2   54.024   0.127
     2  2  108.328  108.948    46.4239   0.11023E+01      2      8      2   54.309   0.138
     2  3  136.218  137.221    46.4600   0.15376E-01      3      9      3   51.178   0.148
     2  4  137.672  139.558    45.4282  -0.15320E-01      4      8      4   49.824   0.159
     2  5  165.558  166.606    46.0517  -0.35608E+00      5      7      5   53.437   0.156
     2 33 1017.396  999.979    36.9644  -0.55869E-04     39     42     33   66.044   0.167
     2 28 1025.133 1025.013    40.8448  -0.33576E-01     37     38     28   65.741   0.167
     2 36 1159.561 1134.221    36.6479  -0.17208E-03     46     45     36   69.630   0.166
     2 33 1296.882 1296.922    42.1638   0.20610E-01     42     46     33   76.247   0.167
     2 39 1302.259 1297.718    37.2188   0.45038E-03     47     49     39   75.560   0.167
     2 45 1445.331 1435.621    37.4141   0.26308E-03     51     54     45   81.060   0.166
     2 39 1449.300 1449.296    42.0777   0.13940E-01     48     49     39   82.922   0.166
